.I,.W,.A,.N
1,"What articles exist which deal with TSS (Time Sharing System), an operating system for IBM computers?",,"1. Richard Alexander, Comp Serv, Langmuir Lab (TSS)"
2,I am interested in articles written either by Prieve or Udo Pooch,"Prieve, B. Pooch, U.","2. Richard Alexander, Comp Serv, Langmuir Lab (author = Pooch or Prieve)"
3,Intermediate languages used in construction of multi-targeted compilers; TCOLL,,"3. Donna Bergmark, Comp Serv, Uris Hall (intermed lang)"
4,"I'm interested in mechanisms for communicating between disjoint processes, possibly, but not exclusively, in a distributed environment.  I would rather see descriptions of complete mechanisms, with or without implementations, as opposed to theoretical work on the abstract problem.  Remote procedure calls and message-passing are examples of my interests.",,4. Pavel Curtis (comm mech for disjoint processes)
5,"I'd like papers on design and implementation of editing interfaces, window-managers, command interpreters, etc.  The essential issues are human interface design, with views on improvements to user efficiency, effectiveness and satisfaction.",,5. Pavel Curtis (editing interfaces)
6,"Interested in articles on robotics, motion planning particularly the geometric and combinatorial aspects.  We are not interested in the dynamics of arm motion.",,6. John Hopcroft (robotics)
7,I am interested in distributed algorithms - concurrent programs in which processes communicate and synchronize by using message passing. Areas of particular interest include fault-tolerance and techniques for understanding the correctness of these algorithms.,,7. Fred Schneider (dist algorithms)
8,Addressing schemes for resources in networks; resource addressing in network operating systems,,8. Alison Brown (addr in networks)
9,"Security considerations in local networks, network operating systems, and distributed systems.",,9. Alison Brown (security in networks)
10,Parallel languages; languages for parallel computation,,"10. Alec Grimison, Comp Serv, Uris Hall (parallel lang)"
11,"SETL, Very High Level Languages",,11. Alec Grimison (SETL; very high level lang)
12,portable operating systems,,12. Ralph Johnson (portable op sys)
13,code optimization for space efficiency,,13. Ralph Johnson (code opt for space)
14,find all discussions of optimal implementations of sort algorithms for database management applications,,"14. Kenneth Wilson, Physics, Newman Lab (sort for database)"
15,Find all discussions of horizontal microcode optimization with special emphasis on optimization of loops and global optimization.,,15. Kenneth Wilson (horizontal microcode opt)
16,find all descriptions of file handling in operating systems based on multiple processes and message passing.,,16. Kenneth Wilson (file handling in dist sys)
17,Optimization of intermediate and machine code,,17. Donna Bergmark (opt of intermediate code)
