,.I,data
0,1,1410
1,1,1572
2,1,1605
3,1,2020
4,1,2358
5,2,2434
6,2,2863
7,2,3078
8,3,1134
9,3,1613
10,3,1807
11,3,1947
12,3,2290
13,3,2923
14,4,1749
15,4,1811
16,4,2256
17,4,2371
18,4,2597
19,4,2796
20,4,2912
21,4,3043
22,4,3073
23,4,3082
24,4,3127
25,4,3128
26,5,756
27,5,1307
28,5,1502
29,5,2035
30,5,2299
31,5,2399
32,5,2501
33,5,2820
34,6,1543
35,6,2078
36,6,2828
37,7,1198
38,7,1338
39,7,1877
40,7,1960
41,7,2150
42,7,2228
43,7,2256
44,7,2280
45,7,2320
46,7,2342
47,7,2376
48,7,2482
49,7,2578
50,7,2597
51,7,2618
52,7,2685
53,7,2700
54,7,2777
55,7,2865
56,7,2866
57,7,2895
58,7,2912
59,7,2941
60,7,3043
61,7,3082
62,7,3128
63,7,3141
64,7,3148
65,8,2625
66,8,2849
67,8,3032
68,9,2372
69,9,2632
70,9,2870
71,9,2876
72,9,3068
73,9,3111
74,9,3128
75,9,3158
76,9,3177
77,10,46
78,10,141
79,10,392
80,10,950
81,10,1158
82,10,1198
83,10,1262
84,10,1380
85,10,1471
86,10,1601
87,10,1613
88,10,1747
89,10,1795
90,10,1811
91,10,2060
92,10,2150
93,10,2256
94,10,2289
95,10,2342
96,10,2376
97,10,2433
98,10,2618
99,10,2664
100,10,2685
101,10,2700
102,10,2714
103,10,2777
104,10,2785
105,10,2851
106,10,2895
107,10,2896
108,10,2912
109,10,3039
110,10,3075
111,10,3156
112,11,1043
113,11,1188
114,11,1306
115,11,1358
116,11,1396
117,11,1491
118,11,1923
119,11,2246
120,11,2316
121,11,2527
122,11,2699
123,11,2710
124,11,2715
125,11,2716
126,11,2906
127,11,2923
128,11,2956
129,11,3073
130,11,3150
131,12,1523
132,12,2080
133,12,2246
134,12,2629
135,12,3127
136,13,115
137,13,1223
138,13,1231
139,13,1551
140,13,1625
141,13,1795
142,13,1807
143,13,1947
144,13,2495
145,13,2579
146,13,2897
147,14,74
148,14,117
149,14,232
150,14,776
151,14,827
152,14,850
153,14,851
154,14,852
155,14,854
156,14,855
157,14,856
158,14,857
159,14,858
160,14,860
161,14,861
162,14,862
163,14,864
164,14,865
165,14,866
166,14,1175
167,14,1724
168,14,1919
169,14,1956
170,14,1969
171,14,1980
172,14,1997
173,14,2017
174,14,2041
175,14,2108
176,14,2118
177,14,2146
178,14,2176
179,14,2191
180,14,2272
181,14,2337
182,14,2348
183,14,2397
184,14,2563
185,14,2664
186,14,2679
187,14,2714
188,14,2716
189,14,3075
190,14,3187
191,15,1231
192,15,1551
193,15,1613
194,15,1947
195,15,2263
196,15,2495
197,15,2598
198,15,2685
199,15,2701
200,15,2880
201,16,1746
202,16,1749
203,16,1828
204,16,1854
205,16,1960
206,16,2070
207,16,2114
208,16,2342
209,16,2376
210,16,2378
211,16,2500
212,16,2632
213,16,2817
214,16,2912
215,16,3073
216,16,3105
217,16,3148
218,17,115
219,17,405
220,17,1134
221,17,1223
222,17,1231
223,17,1535
224,17,1551
225,17,1613
226,17,1807
227,17,1934
228,17,1947
229,17,2290
230,17,2495
231,17,2579
232,17,2586
233,17,2923
234,18,1158
235,18,1215
236,18,1262
237,18,1471
238,18,1613
239,18,1811
240,18,2060
241,18,2175
242,18,2413
243,18,2433
244,18,2685
245,19,141
246,19,863
247,19,950
248,19,1601
249,19,2266
250,19,2664
251,19,2714
252,19,2973
253,19,3075
254,19,3156
255,19,3175
256,20,1563
257,20,2695
258,20,2986
259,21,1429
260,21,1847
261,21,2189
262,21,2490
263,21,2603
264,21,2701
265,21,2702
266,21,2703
267,21,2932
268,21,3018
269,21,3139
270,22,2369
271,22,2384
272,22,2441
273,22,2473
274,22,2564
275,22,2637
276,22,2638
277,22,2678
278,22,2692
279,22,2751
280,22,2760
281,22,2761
282,22,2827
283,22,2828
284,22,2829
285,22,3116
286,22,3149
287,23,2578
288,23,2849
289,23,3137
290,23,3148
291,24,268
292,24,1696
293,24,1892
294,24,2069
295,24,2123
296,24,2297
297,24,2373
298,24,2667
299,24,2862
300,24,2970
301,24,2996
302,24,3078
303,24,3098
304,25,268
305,25,757
306,25,963
307,25,1408
308,25,1518
309,25,1526
310,25,1533
311,25,1572
312,25,1653
313,25,1698
314,25,1719
315,25,1805
316,25,1892
317,25,1901
318,25,2085
319,25,2095
320,25,2218
321,25,2277
322,25,2318
323,25,2319
324,25,2358
325,25,2373
326,25,2434
327,25,2452
328,25,2535
329,25,2582
330,25,2667
331,25,2668
332,25,2669
333,25,2681
334,25,2741
335,25,2765
336,25,2798
337,25,2818
338,25,2831
339,25,2859
340,25,2862
341,25,2863
342,25,2881
343,25,2918
344,25,2928
345,25,2984
346,25,2988
347,25,2996
348,25,3006
349,25,3048
350,25,3059
351,25,3067
352,25,3088
353,25,3089
354,25,3119
355,26,1071
356,26,1198
357,26,1338
358,26,1749
359,26,1828
360,26,1854
361,26,1960
362,26,2080
363,26,2150
364,26,2256
365,26,2320
366,26,2342
367,26,2376
368,26,2379
369,26,2541
370,26,2597
371,26,2618
372,26,2632
373,26,2700
374,26,2740
375,26,2777
376,26,2851
377,26,2866
378,26,2912
379,26,2938
380,26,3039
381,26,3043
382,26,3048
383,26,3082
384,26,3128
385,27,1641
386,27,1642
387,27,1750
388,27,1752
389,27,1879
390,27,1884
391,27,1901
392,27,2095
393,27,2297
394,27,2435
395,27,2481
396,27,2498
397,27,2560
398,27,2596
399,27,2669
400,27,2734
401,27,2747
402,27,2768
403,27,2798
404,27,2818
405,27,2859
406,27,2864
407,27,2902
408,27,2918
409,27,2955
410,27,2983
411,27,2988
412,27,3000
413,27,3052
414,28,2578
415,28,2849
416,28,2890
417,28,2949
418,28,3032
419,29,377
420,29,513
421,29,610
422,29,935
423,29,1094
424,29,1420
425,29,1537
426,29,1538
427,29,1539
428,29,1840
429,29,1841
430,29,1967
431,29,2028
432,29,2089
433,29,2120
434,29,2462
435,29,2927
436,29,2932
437,29,3037
438,30,1926
439,30,2486
440,30,2786
441,30,2917
442,31,2125
443,31,3047
444,32,366
445,32,1145
446,32,3139
447,33,2805
448,36,1265
449,36,1350
450,36,1683
451,36,1768
452,36,1787
453,36,1825
454,36,1836
455,36,2015
456,36,2084
457,36,2110
458,36,2179
459,36,2340
460,36,2423
461,36,2702
462,36,2708
463,36,2733
464,36,2824
465,36,2836
466,36,2986
467,36,3094
468,37,2265
469,37,2377
470,37,2558
471,37,2625
472,37,2632
473,37,2651
474,37,2738
475,37,2840
476,37,2939
477,37,2941
478,37,3144
479,37,3148
480,38,2265
481,38,2558
482,38,2625
483,38,2632
484,38,2651
485,38,2868
486,38,2939
487,38,2940
488,38,2941
489,38,2956
490,38,2957
491,38,2958
492,38,2960
493,38,3031
494,38,3103
495,38,3150
496,39,1693
497,39,1861
498,39,2126
499,39,2265
500,39,2317
501,39,2558
502,39,2625
503,39,2632
504,39,2651
505,39,2939
506,39,2941
507,39,3031
508,40,1614
509,40,2126
510,40,2148
511,40,2265
512,40,2651
513,40,2939
514,40,2940
515,40,2941
516,40,2956
517,40,2958
518,42,963
519,42,1069
520,42,1518
521,42,1572
522,42,1653
523,42,1805
524,42,1827
525,42,1884
526,42,2022
527,42,2085
528,42,2151
529,42,2247
530,42,2318
531,42,2344
532,42,2522
533,42,2542
534,42,2749
535,42,2951
536,42,2984
537,42,3048
538,42,3072
539,43,122
540,43,266
541,43,297
542,43,462
543,43,1113
544,43,1325
545,43,1528
546,43,1554
547,43,1686
548,43,1697
549,43,2004
550,43,2195
551,43,2201
552,43,2211
553,43,2382
554,43,2400
555,43,2421
556,43,2514
557,43,2523
558,43,2655
559,43,2687
560,43,2751
561,43,2754
562,43,2771
563,43,2788
564,43,2811
565,43,2826
566,43,2827
567,43,2828
568,43,2829
569,43,2841
570,43,2883
571,43,2910
572,43,2913
573,43,2924
574,43,2994
575,43,3047
576,43,3062
577,43,3116
578,43,3149
579,43,3172
580,44,1804
581,44,1891
582,44,2004
583,44,2382
584,44,2514
585,44,2523
586,44,2547
587,44,2687
588,44,2751
589,44,2771
590,44,2827
591,44,2829
592,44,2910
593,44,2913
594,44,2924
595,44,3013
596,44,3047
597,45,268
598,45,1831
599,45,1935
600,45,2140
601,45,2257
602,45,2359
603,45,2360
604,45,2452
605,45,2493
606,45,2669
607,45,2680
608,45,2716
609,45,2765
610,45,2816
611,45,2878
612,45,2882
613,45,2900
614,45,2964
615,45,2965
616,45,2969
617,45,3002
618,45,3058
619,45,3129
620,45,3137
621,45,3152
622,45,3168
623,48,149
624,48,1353
625,48,1666
626,48,1729
627,48,1797
628,48,1863
629,48,2073
630,48,2223
631,48,2226
632,48,2285
633,48,2325
634,48,2589
635,49,1152
636,49,1515
637,49,1681
638,49,2127
639,49,2390
640,49,2561
641,49,2795
642,49,2832
643,57,3077
644,58,432
645,58,536
646,58,1293
647,58,1344
648,58,1398
649,58,1411
650,58,1420
651,58,1445
652,58,1619
653,58,1629
654,58,1631
655,58,1691
656,58,1709
657,58,1812
658,58,1944
659,58,2098
660,58,2115
661,58,2122
662,58,2123
663,58,2249
664,58,2349
665,58,2395
666,58,2634
667,58,2636
668,58,2719
669,58,2731
670,58,2825
671,58,3159
672,58,3166
673,58,3167
674,59,440
675,59,944
676,59,1112
677,59,1170
678,59,1235
679,59,1314
680,59,1324
681,59,1456
682,59,1457
683,59,1700
684,59,1785
685,59,1786
686,59,1855
687,59,1860
688,59,1885
689,59,1973
690,59,2018
691,59,2032
692,59,2033
693,59,2092
694,59,2107
695,59,2111
696,59,2127
697,59,2203
698,59,2251
699,59,2274
700,59,2359
701,59,2412
702,59,2524
703,59,2530
704,59,2532
705,59,2537
706,59,2543
707,59,2552
708,59,2559
709,59,2631
710,59,2673
711,59,2905
712,59,2974
713,59,2991
714,59,3053
715,59,3083
716,59,3126
717,60,2023
718,60,2046
719,60,2198
720,60,2377
721,60,2406
722,60,2452
723,60,2493
724,60,2516
725,60,2526
726,60,2593
727,60,2710
728,60,2715
729,60,2716
730,60,2717
731,60,2718
732,60,2765
733,60,2816
734,60,2817
735,60,2882
736,60,2957
737,60,2959
738,60,2960
739,60,2964
740,60,2976
741,60,3087
742,60,3137
743,60,3147
744,61,239
745,61,440
746,61,634
747,61,1032
748,61,1236
749,61,1457
750,61,1514
751,61,1675
752,61,1830
753,61,1927
754,61,1976
755,61,2160
756,61,2307
757,61,2363
758,61,2451
759,61,2452
760,61,2524
761,61,2575
762,61,2631
763,61,2641
764,61,2711
765,61,2765
766,61,2965
767,61,2966
768,61,2976
769,61,2990
770,61,3001
771,61,3012
772,61,3134
773,61,3168
774,61,3169
775,62,950
776,62,1601
777,62,1811
778,62,2289
779,62,2664
780,62,2714
781,62,3075
782,62,3156
783,63,950
784,63,1601
785,63,1795
786,63,1811
787,63,2266
788,63,2289
789,63,2557
790,63,2664
791,63,2714
792,63,2973
793,63,3075
794,63,3156
795,64,2651
