,.I,data
0,1,28
1,1,35
2,1,38
3,1,42
4,1,43
5,1,52
6,1,65
7,1,76
8,1,86
9,1,150
10,1,189
11,1,192
12,1,193
13,1,195
14,1,215
15,1,269
16,1,291
17,1,320
18,1,429
19,1,465
20,1,466
21,1,482
22,1,483
23,1,510
24,1,524
25,1,541
26,1,576
27,1,582
28,1,589
29,1,603
30,1,650
31,1,680
32,1,711
33,1,722
34,1,726
35,1,783
36,1,813
37,1,820
38,1,868
39,1,869
40,1,894
41,1,1162
42,1,1164
43,1,1195
44,1,1196
45,1,1281
46,2,29
47,2,68
48,2,197
49,2,213
50,2,214
51,2,309
52,2,319
53,2,324
54,2,429
55,2,499
56,2,636
57,2,669
58,2,670
59,2,674
60,2,690
61,2,692
62,2,695
63,2,700
64,2,704
65,2,709
66,2,720
67,2,731
68,2,733
69,2,738
70,2,740
71,2,1136
72,3,60
73,3,85
74,3,114
75,3,123
76,3,126
77,3,131
78,3,133
79,3,136
80,3,138
81,3,140
82,3,346
83,3,359
84,3,363
85,3,372
86,3,412
87,3,445
88,3,454
89,3,461
90,3,463
91,3,469
92,3,532
93,3,537
94,3,540
95,3,553
96,3,554
97,3,555
98,3,585
99,3,590
100,3,599
101,3,640
102,3,660
103,3,664
104,3,803
105,3,901
106,3,909
107,3,911
108,3,1027
109,3,1053
110,3,1169
111,3,1179
112,3,1181
113,3,1190
114,3,1191
115,3,1326
116,4,310
117,4,315
118,4,321
119,4,329
120,4,332
121,4,420
122,4,601
123,4,980
124,5,32
125,5,56
126,5,65
127,5,114
128,5,124
129,5,137
130,5,187
131,5,188
132,5,191
133,5,241
134,5,339
135,5,370
136,5,400
137,5,451
138,5,453
139,5,471
140,5,525
141,5,528
142,5,642
143,5,648
144,5,692
145,5,1035
146,5,1246
147,5,1356
148,6,400
149,7,310
150,7,320
151,7,332
152,7,375
153,7,376
154,7,645
155,7,724
156,7,725
157,8,37
158,8,40
159,8,65
160,8,507
161,8,529
162,8,707
163,8,760
164,8,802
165,8,864
166,8,900
167,8,1024
168,8,1161
169,8,1225
170,8,1226
171,8,1267
172,8,1382
173,8,1409
174,8,1414
175,9,6
176,9,174
177,9,175
178,9,179
179,9,212
180,9,320
181,9,324
182,9,329
183,9,566
184,9,572
185,9,577
186,9,600
187,9,1077
188,9,1120
189,9,1129
190,9,1130
191,9,1131
192,9,1159
193,9,1161
194,9,1162
195,9,1164
196,9,1165
197,9,1185
198,9,1190
199,9,1191
200,9,1224
201,9,1225
202,9,1267
203,9,1294
204,9,1323
205,9,1327
206,9,1382
207,9,1388
208,9,1427
209,10,25
210,10,175
211,10,228
212,10,229
213,10,233
214,10,277
215,10,399
216,10,462
217,10,536
218,10,540
219,10,574
220,10,605
221,10,615
222,10,829
223,10,972
224,10,1045
225,10,1082
226,10,1116
227,10,1117
228,10,1119
229,10,1123
230,10,1141
231,10,1159
232,10,1173
233,10,1204
234,10,1385
235,11,2
236,11,15
237,11,32
238,11,33
239,11,37
240,11,41
241,11,63
242,11,67
243,11,87
244,11,90
245,11,95
246,11,110
247,11,113
248,11,116
249,11,121
250,11,153
251,11,160
252,11,163
253,11,165
254,11,166
255,11,169
256,11,172
257,11,199
258,11,202
259,11,215
260,11,219
261,11,223
262,11,243
263,11,252
264,11,254
265,11,266
266,11,309
267,11,314
268,11,327
269,11,345
270,11,355
271,11,356
272,11,360
273,11,371
274,11,372
275,11,373
276,11,381
277,11,386
278,11,391
279,11,395
280,11,398
281,11,415
282,11,439
283,11,440
284,11,453
285,11,456
286,11,513
287,11,533
288,11,544
289,11,547
290,11,560
291,11,602
292,11,605
293,11,656
294,11,657
295,11,666
296,11,714
297,11,716
298,11,718
299,11,719
300,11,723
301,11,728
302,11,731
303,11,733
304,11,737
305,11,738
306,11,739
307,11,763
308,11,771
309,11,772
310,11,788
311,11,789
312,11,821
313,11,828
314,11,837
315,11,839
316,11,845
317,11,899
318,11,952
319,11,953
320,11,965
321,11,967
322,11,1080
323,11,1081
324,11,1089
325,11,1094
326,11,1095
327,11,1096
328,11,1098
329,11,1099
330,11,1102
331,11,1110
332,11,1113
333,11,1114
334,11,1121
335,11,1122
336,11,1128
337,11,1151
338,11,1155
339,11,1156
340,11,1158
341,11,1160
342,11,1223
343,11,1228
344,11,1235
345,11,1241
346,11,1254
347,11,1256
348,11,1257
349,11,1264
350,11,1268
351,11,1275
352,11,1284
353,11,1295
354,11,1298
355,11,1303
356,11,1309
357,11,1319
358,11,1373
359,11,1404
360,11,1418
361,11,1446
362,12,53
363,12,133
364,12,136
365,12,341
366,12,347
367,12,376
368,12,899
369,12,1190
370,12,1191
371,12,1209
372,12,1290
373,12,1293
374,12,1363
375,13,27
376,13,28
377,13,42
378,13,49
379,13,50
380,13,52
381,13,57
382,13,59
383,13,61
384,13,67
385,13,72
386,13,73
387,13,75
388,13,77
389,13,84
390,13,114
391,13,120
392,13,128
393,13,134
394,13,137
395,13,139
396,13,146
397,13,153
398,13,164
399,13,167
400,13,175
401,13,176
402,13,194
403,13,198
404,13,223
405,13,244
406,13,266
407,13,307
408,13,309
409,13,311
410,13,327
411,13,328
412,13,347
413,13,389
414,13,458
415,13,474
416,13,484
417,13,486
418,13,493
419,13,494
420,13,508
421,13,509
422,13,514
423,13,519
424,13,523
425,13,525
426,13,532
427,13,538
428,13,565
429,13,595
430,13,596
431,13,608
432,13,634
433,13,646
434,13,656
435,13,658
436,13,659
437,13,696
438,13,702
439,13,705
440,13,720
441,13,728
442,13,731
443,13,752
444,13,762
445,13,780
446,13,785
447,13,795
448,13,806
449,13,815
450,13,826
451,13,827
452,13,829
453,13,835
454,13,956
455,13,966
456,13,1054
457,13,1124
458,13,1126
459,13,1127
460,13,1138
461,13,1139
462,13,1143
463,13,1144
464,13,1282
465,13,1307
466,14,45
467,14,420
468,14,890
469,15,18
470,15,27
471,15,36
472,15,49
473,15,56
474,15,59
475,15,67
476,15,74
477,15,83
478,15,126
479,15,158
480,15,164
481,15,167
482,15,192
483,15,214
484,15,222
485,15,223
486,15,250
487,15,281
488,15,292
489,15,295
490,15,299
491,15,307
492,15,331
493,15,336
494,15,338
495,15,348
496,15,365
497,15,366
498,15,367
499,15,368
500,15,372
501,15,381
502,15,446
503,15,458
504,15,465
505,15,466
506,15,482
507,15,490
508,15,491
509,15,495
510,15,497
511,15,507
512,15,520
513,15,528
514,15,591
515,15,594
516,15,623
517,15,629
518,15,639
519,15,690
520,15,720
521,15,723
522,15,724
523,15,727
524,15,728
525,15,731
526,15,779
527,15,822
528,15,834
529,15,839
530,15,848
531,15,849
532,15,865
533,15,872
534,15,897
535,15,1100
536,15,1161
537,15,1248
538,15,1305
539,15,1353
540,15,1358
541,15,1363
542,15,1366
543,15,1368
544,15,1371
545,15,1372
546,15,1374
547,15,1375
548,15,1376
549,15,1377
550,15,1410
551,16,123
552,16,126
553,16,169
554,16,197
555,16,375
556,16,481
557,16,497
558,16,508
559,16,528
560,16,529
561,16,534
562,16,734
563,16,854
564,16,885
565,16,947
566,16,997
567,16,1011
568,16,1013
569,16,1073
570,16,1121
571,16,1146
572,16,1171
573,16,1193
574,16,1198
575,16,1207
576,16,1366
577,17,34
578,17,53
579,17,252
580,17,286
581,17,375
582,17,376
583,17,465
584,17,467
585,17,482
586,17,491
587,17,507
588,17,529
589,17,578
590,17,582
591,17,633
592,17,680
593,17,721
594,17,724
595,17,763
596,17,1014
597,17,1057
598,17,1058
599,17,1059
600,17,1060
601,17,1371
602,17,1415
603,18,66
604,18,80
605,18,175
606,18,695
607,18,709
608,18,833
609,18,1026
610,18,1092
611,18,1180
612,18,1292
613,18,1452
614,19,26
615,19,38
616,19,39
617,19,62
618,19,65
619,19,71
620,19,77
621,19,117
622,19,123
623,19,159
624,19,175
625,19,179
626,19,320
627,19,419
628,19,421
629,19,422
630,19,434
631,19,442
632,19,479
633,19,483
634,19,487
635,19,488
636,19,501
637,19,508
638,19,511
639,19,518
640,19,520
641,19,521
642,19,538
643,19,562
644,19,570
645,19,596
646,19,636
647,19,641
648,19,669
649,19,670
650,19,671
651,19,678
652,19,687
653,19,689
654,19,695
655,19,698
656,19,699
657,19,700
658,19,704
659,19,706
660,19,708
661,19,709
662,19,714
663,19,790
664,19,802
665,19,810
666,19,812
667,19,820
668,19,835
669,19,836
670,19,851
671,19,855
672,19,862
673,19,867
674,19,868
675,19,869
676,19,871
677,19,875
678,19,876
679,19,993
680,19,1091
681,19,1120
682,19,1124
683,19,1130
684,19,1134
685,19,1139
686,19,1162
687,19,1164
688,19,1194
689,19,1196
690,19,1199
691,19,1230
692,19,1234
693,19,1411
694,19,1415
695,20,27
696,20,72
697,20,73
698,20,75
699,20,77
700,20,120
701,20,128
702,20,134
703,20,150
704,20,175
705,20,190
706,20,197
707,20,224
708,20,243
709,20,244
710,20,287
711,20,374
712,20,381
713,20,382
714,20,389
715,20,390
716,20,424
717,20,448
718,20,450
719,20,458
720,20,459
721,20,465
722,20,466
723,20,468
724,20,473
725,20,474
726,20,479
727,20,483
728,20,484
729,20,485
730,20,486
731,20,487
732,20,488
733,20,492
734,20,493
735,20,494
736,20,498
737,20,504
738,20,506
739,20,519
740,20,526
741,20,534
742,20,538
743,20,547
744,20,563
745,20,564
746,20,565
747,20,576
748,20,581
749,20,586
750,20,595
751,20,596
752,20,608
753,20,609
754,20,620
755,20,625
756,20,636
757,20,646
758,20,696
759,20,702
760,20,705
761,20,720
762,20,734
763,20,742
764,20,754
765,20,773
766,20,776
767,20,780
768,20,785
769,20,795
770,20,801
771,20,806
772,20,807
773,20,809
774,20,813
775,20,815
776,20,817
777,20,820
778,20,824
779,20,826
780,20,827
781,20,829
782,20,835
783,20,845
784,20,851
785,20,852
786,20,853
787,20,855
788,20,858
789,20,859
790,20,861
791,20,863
792,20,864
793,20,866
794,20,870
795,20,871
796,20,876
797,20,894
798,20,956
799,20,966
800,20,986
801,20,1051
802,20,1054
803,20,1089
804,20,1091
805,20,1094
806,20,1104
807,20,1105
808,20,1106
809,20,1124
810,20,1126
811,20,1127
812,20,1132
813,20,1138
814,20,1143
815,20,1162
816,20,1164
817,20,1175
818,20,1196
819,20,1197
820,20,1207
821,20,1230
822,20,1255
823,20,1264
824,20,1281
825,20,1282
826,20,1294
827,20,1307
828,20,1327
829,20,1362
830,20,1363
831,20,1367
832,20,1372
833,20,1377
834,20,1410
835,20,1415
836,20,1419
837,20,1421
838,20,1448
839,21,6
840,21,14
841,21,22
842,21,85
843,21,171
844,21,185
845,21,186
846,21,303
847,21,339
848,21,392
849,21,400
850,21,453
851,21,839
852,21,891
853,21,896
854,21,923
855,21,924
856,21,949
857,21,985
858,21,1020
859,21,1021
860,21,1147
861,21,1149
862,21,1206
863,21,1356
864,22,52
865,22,64
866,22,65
867,22,72
868,22,75
869,22,133
870,22,148
871,22,190
872,22,191
873,22,192
874,22,194
875,22,197
876,22,199
877,22,202
878,22,211
879,22,213
880,22,214
881,22,218
882,22,222
883,22,223
884,22,224
885,22,254
886,22,375
887,22,382
888,22,384
889,22,395
890,22,410
891,22,415
892,22,429
893,22,452
894,22,466
895,22,506
896,22,513
897,22,514
898,22,526
899,22,547
900,22,568
901,22,586
902,22,588
903,22,613
904,22,619
905,22,620
906,22,624
907,22,659
908,22,790
909,22,806
910,22,810
911,22,828
912,22,883
913,22,890
914,22,986
915,22,1051
916,22,1303
917,23,2
918,23,9
919,23,11
920,23,23
921,23,31
922,23,36
923,23,46
924,23,115
925,23,183
926,23,184
927,23,193
928,23,201
929,23,202
930,23,203
931,23,204
932,23,205
933,23,210
934,23,234
935,23,242
936,23,282
937,23,290
938,23,294
939,23,295
940,23,323
941,23,325
942,23,358
943,23,364
944,23,367
945,23,383
946,23,394
947,23,406
948,23,433
949,23,502
950,23,624
951,23,638
952,23,772
953,23,845
954,23,916
955,23,930
956,23,943
957,23,944
958,23,952
959,23,959
960,23,963
961,23,1361
962,23,1418
963,23,1445
964,23,1451
965,24,6
966,24,8
967,24,14
968,24,22
969,24,136
970,24,141
971,24,170
972,24,171
973,24,188
974,24,197
975,24,230
976,24,231
977,24,268
978,24,325
979,24,339
980,24,344
981,24,353
982,24,387
983,24,392
984,24,405
985,24,407
986,24,413
987,24,453
988,24,556
989,24,585
990,24,598
991,24,743
992,24,832
993,24,844
994,24,857
995,24,858
996,24,891
997,24,896
998,24,923
999,24,924
1000,24,929
1001,24,934
1002,24,935
1003,24,945
1004,24,949
1005,24,1022
1006,24,1147
1007,24,1149
1008,24,1166
1009,24,1242
1010,24,1245
1011,24,1325
1012,24,1356
1013,24,1403
1014,24,1423
1015,24,1443
1016,24,1457
1017,25,12
1018,25,17
1019,25,94
1020,25,130
1021,25,138
1022,25,243
1023,25,260
1024,25,323
1025,25,342
1026,25,375
1027,25,376
1028,25,384
1029,25,452
1030,25,482
1031,25,529
1032,25,710
1033,25,873
1034,25,877
1035,25,919
1036,25,1004
1037,25,1095
1038,25,1098
1039,25,1153
1040,25,1245
1041,25,1251
1042,25,1256
1043,25,1303
1044,25,1362
1045,25,1431
1046,25,1433
1047,25,1435
1048,25,1436
1049,25,1441
1050,26,17
1051,26,27
1052,26,36
1053,26,67
1054,26,74
1055,26,83
1056,26,126
1057,26,158
1058,26,164
1059,26,192
1060,26,214
1061,26,218
1062,26,307
1063,26,338
1064,26,364
1065,26,365
1066,26,372
1067,26,381
1068,26,446
1069,26,458
1070,26,465
1071,26,468
1072,26,474
1073,26,490
1074,26,491
1075,26,495
1076,26,496
1077,26,497
1078,26,500
1079,26,507
1080,26,523
1081,26,534
1082,26,584
1083,26,591
1084,26,615
1085,26,620
1086,26,639
1087,26,675
1088,26,690
1089,26,723
1090,26,732
1091,26,779
1092,26,813
1093,26,822
1094,26,848
1095,26,849
1096,26,860
1097,26,865
1098,26,979
1099,26,1100
1100,26,1264
1101,26,1366
1102,26,1368
1103,26,1374
1104,26,1376
1105,26,1377
1106,27,27
1107,27,44
1108,27,51
1109,27,52
1110,27,57
1111,27,65
1112,27,68
1113,27,71
1114,27,72
1115,27,77
1116,27,78
1117,27,79
1118,27,114
1119,27,117
1120,27,123
1121,27,126
1122,27,149
1123,27,150
1124,27,159
1125,27,174
1126,27,175
1127,27,176
1128,27,180
1129,27,187
1130,27,190
1131,27,191
1132,27,212
1133,27,241
1134,27,257
1135,27,258
1136,27,259
1137,27,309
1138,27,314
1139,27,315
1140,27,319
1141,27,321
1142,27,326
1143,27,327
1144,27,329
1145,27,377
1146,27,378
1147,27,389
1148,27,390
1149,27,434
1150,27,446
1151,27,448
1152,27,480
1153,27,489
1154,27,493
1155,27,499
1156,27,500
1157,27,506
1158,27,510
1159,27,517
1160,27,522
1161,27,527
1162,27,530
1163,27,531
1164,27,538
1165,27,565
1166,27,566
1167,27,570
1168,27,590
1169,27,600
1170,27,603
1171,27,632
1172,27,644
1173,27,659
1174,27,670
1175,27,671
1176,27,673
1177,27,680
1178,27,684
1179,27,687
1180,27,695
1181,27,699
1182,27,700
1183,27,704
1184,27,709
1185,27,740
1186,27,746
1187,27,758
1188,27,761
1189,27,769
1190,27,773
1191,27,776
1192,27,781
1193,27,790
1194,27,796
1195,27,805
1196,27,817
1197,27,820
1198,27,824
1199,27,825
1200,27,830
1201,27,869
1202,27,894
1203,27,1091
1204,27,1120
1205,27,1124
1206,27,1126
1207,27,1127
1208,27,1130
1209,27,1132
1210,27,1139
1211,27,1144
1212,27,1230
1213,27,1255
1214,27,1280
1215,27,1283
1216,27,1298
1217,27,1323
1218,27,1392
