,.I,data,.B
0,1.0,preliminary report international algebraic language perlis  samelson k  ,1958-12-01
1,2.0,extraction of roots by repeated subtractions for digital computers sugai  ,1958-12-01
2,3.0,techniques department on matrix program schemes friedman  ,1958-12-01
3,4.0,glossary of computer engineering and programming terminology  ,1958-11-01
4,5.0,two square root approximations wadey  ,1958-11-01
5,6.0,the use of computers in inspection procedures muller  ,1958-11-01
6,7.0,glossary of computer engineering and programming terminology  ,1958-10-01
7,8.0,on the equivalence and transformation of program schemes friedman  ,1958-10-01
8,9.0,proposal for an uncol conway  ,1958-10-01
9,10.0,glossary of computer engineering and programming terminology  ,1958-09-01
10,11.0,the problem of programming communication with changing machines a proposed solution part 2 strong  wegstein  tritter  olsztyn  mock  steel  ,1958-09-01
11,12.0,error estimation in runge kutta procedures call  reeves  ,1958-09-01
12,13.0,glossary of computer engineering and programming terminology  ,1958-08-01
13,14.0,the problem of programming communication with changing machines a proposed solution part 1 strong  wegstein  tritter  olsztyn  mock  steel  ,1958-08-01
14,15.0,recursive curve fitting technique giblin  ,1958-08-01
15,16.0,secant modification of newton s method jeeves  ,1958-08-01
16,17.0,on programming of arithmetic operations ershov  ,1958-08-01
17,18.0,simple automatic coding systems adams  schlesinger  ,1958-07-01
18,19.0,glossary of computer engineering and programming terminology  ,1958-06-01
19,20.0,accelerating convergence of iterative processes wegstein  a technique is discussed which when applied to an iterative procedure for the solution of an equation accelerates the rate of convergence if the iteration converges and induces convergence if the iteration diverges an illustrative example is given,1958-06-01
20,21.0,algebraic formulation of flow diagrams voorhees  ,1958-06-01
21,22.0,unusual applications department automatic implementation of computer logic morris  wohr  ,1958-05-01
22,23.0,binary and truth function operations on a decimal computer with an extract command kautz  ,1958-05-01
23,24.0,an improved decimal redundancy check sisson  ,1958-05-01
24,25.0,general purpose programming systems holt  ,1958-05-01
25,26.0,a subroutine method for calculating logarithms bemer  ,1958-05-01
26,27.0,note on empirical bounds for generating bessel functions randels  reeves  ,1958-05-01
27,28.0,request for methods or programs corley  ,1958-04-01
28,29.0,need for an algorithm selden  ,1958-04-01
29,30.0,algorithm for analyzing logical statements to produce a truth function table wolpe  ,1958-03-01
30,31.0,ibm 704 code nundrums grumette  ,1958-03-01
31,32.0,variable width tables with binary search facility halpern  ,1958-02-01
32,33.0,a programmed binary counter for the ibm type 650 calculator kenny  hunter  ,1958-01-01
33,34.0,tables for automatic computation wilf  ,1958-01-01
34,35.0,a machine method for square root computation bemer  ,1958-01-01
35,36.0,a queue network simulator for the ibm 650 and burroughs 220 conway  johnson  maxwell  ,1959-12-01
36,37.0,impact of computer developments humphrey  ,1959-12-01
37,38.0,a proposed interpretation in algol irons  acton  ,1959-12-01
38,39.0,the secant method for simultaneous nonlinear equations wolfe  a procedure for the simultaneous solution of a system of not necessarily linear equations a generalization of the secant method for a single function of one variable is given,1959-12-01
39,40.0,fingers or fists the choice of decimal or binary representation buchholz  the binary number system offers many advantages over a decimal representation for a high performance general purpose computer the greater simplicity of a binary arithmetic unit and the greater compactness of binary numbers both contribute directly to arithmetic speed less obvious and perhaps more important is the way binary addressing and instruction formats can increase the overall performance binary addresses are also essential to certain powerful operations which are not practical with decimal instruction formats on the other hand decimal numbers are essential for communicating between man and the computer in applications requiring the processing of a large volume of inherently decimal input and output data the time for decimal binary conversion needed by a purely binary computer may be significant a slower decimal adder may take less time than a fast binary adder doing an addition and two conversions a careful review of the significance of decimal and binary addressing and both binary and decimal data arithmetic supplemented by efficient conversion instructions,1959-12-01
40,41.0,some notes on computer research in eastern europe nadler  ,1959-12-01
41,42.0,a new method of computation of square roots without using division sarafyan  ,1959-11-01
42,43.0,a technique for handling macro instructions greenwald  ,1959-11-01
43,44.0,runcible algebraic translation on a limited computer knuth  ,1959-11-01
44,45.0,flow outlining a substitute for flow charting gant  ,1959-11-01
45,46.0,multiprogramming stretch feasibility considerations codd  lowry  mcdonough  scalzi  the tendency towards increased parallelism in computers is noted exploitation of this parallelism presents a number of new problems in machine design and in programming systems minimum requirements for successful concurrent execution of several independent problem programs are discussed these requirements are met in the stretch system by a carefully balanced combination of built in and programmed logic techniques are described which place the burden of the programmed logic on system programs supervisory program and compiler rather than on problem programs,1959-11-01
46,47.0,russian visit to u s computers zaitzeff  astrahan  ,1959-11-01
47,48.0,shift register code for indexing applications nadler  sengupta  in this communication the use of a shift register code with n 10 is described for calling 64 wireless telemetering stations in a fixed cyclical order a high degree of redundancy is used permitting a single error correcting code minimum distance three code with 64 10 bit code words to be employed as the station identification code embedding this in the shift register code with period 1023 permits the code to be employed without punctuation each of the telemetering station receivers simply putting received ones and zeros into a shift register each time the given code combination arises identifying the particular station barring for tuitous error combinations of very low probability it has been called the communication describes the properties and application of the code in some detail and the finding of the particular example to be employed on ural the soviet built drum computer donated to the indian statistical institute by the united nations technical aid administration untaa,1959-10-01
48,49.0,scientific and business applications oracle curve plotter b fike  ,
49,50.0,statistical programs for the ibm 650 part ii hamblen  ,1959-10-01
50,51.0,on the construction of micro flowcharts gorn  ingerman  crozier  ,1959-10-01
51,52.0,an efficient method for generating uniformly distributed points on the surface on an n dimensional sphere corrigendum cook  ,1959-10-01
52,53.0,recommendations of the share algol committee  ,1959-10-01
53,54.0,sale a simple algebraic language for engineers brittenham  clark  kuss  thompson  smith  ,1959-10-01
54,55.0,an algebraic translator kaner  ,1959-10-01
55,56.0,proposed standard flow chart symbols  ,1959-10-01
56,57.0,j e i d a and its computer center  ,1959-10-01
57,58.0,lem 1 small size general purpose digital computer using magnetic ferrite elements machmudov  the paper examines some of the questions of development and construction of a general purpose digital computer using contactless magnetic ferrite and capacitive dezu long duration capacitive memory elements developed at the laboratory of electrical modeling vinityi an sssr under the supervision of professor l i gutenmacher,1959-10-01
58,59.0,survey of progress and trend of development and use of automatic data processing in business and management control systems of the federal government as of december 1957 iii  ,1959-09-01
59,60.0,the alpha vector transformation of a system of linear constraints wersan  ,1959-09-01
60,61.0,ibm 709 tape matrix compiler hornick  ,1959-09-01
61,62.0,multi dimensional least squares polynomial curve fitting lesh  ,1959-09-01
62,63.0,octal diagrams of binary conception and their applicability to computer design logic li  this paper dates back the genesis of binary conception circa 5000 years ago and octal diagrams about 4800 years ago as derived by the chinese ancients it analyzes the applicability of binary trinities of the octal diagrams to modern electronic digital computer design logic,1959-09-01
63,64.0,remarks on algol and symbol manipulation green  ,1959-09-01
64,65.0,algol sub committee report extensions dijkstra  heise  perlis  samelson  ,1959-09-01
65,66.0,a proposal for a generalized card code for 256 characters bemer  ,1959-09-01
66,67.0,central european computers blachman  ,1959-09-01
67,68.0,the role of the university in computers data processing and related fields fein  a study was made of university programs in the united states in the fields of computers data processing operations research and other closely related fields university policies organization administration faculties students researches curricula equipment and financing were investigated an integrated university program is recommended reflecting the conviction that many present activities related to computers will develop into disciplines and as such are the legitimate province of the university scholar details on a recommended graduate school of computer sciences are given,1959-09-01
68,69.0,statistical programs for the ibm 650 part i hamblen  a collection is given of brief descriptions of statistical programs now in use in university computing centers which have ibm 650 s,1959-08-01
69,70.0,construction of a set of test matrices aegerter  this paper develops the equations and properties of a set of test matrices which are useful in the determination of the accuracy of routines for finding the inverse determinant and or eigenvalues of a matrix,1959-08-01
70,71.0,proposal for a feasible programming system bagley  this paper proposes designing a programming facility itself involving a digital computer and a program which will assist the preparation of large scale real time programs this facility is to be capable of preparing programs for any of a variety of machines having characteristics similar to those of the facility s computer one of the basic assumptions is that there will be enough random access storage available to avoid the necessity for segmenting a constructed program in any fashion other than a trivial one while this assumption is somewhat unrealistic it is intended to provide an opportunity to concentrate on the other aspects of program construction the programming system should stress the discovery in source program statements of as many errors as possible before attempting to construct an object program among the computer characteristics which are advocated are a program interrupt scheme a large set of characters and indirect addressing,1959-08-01
71,72.0,an educational program in computing hollingsworth  ,1959-08-01
72,73.0,a real time data assimilator gschwind  ,1959-07-01
