,.I,data
0,0.0,  what articles exist which deal with tss time sharing system an operating system for ibm computers
1,1.0, prieve  pooch  i am interested in articles written either by prieve or udo pooch
2,2.0,  intermediate languages used in construction of multi targeted compilers tcoll
3,3.0,  i m interested in mechanisms for communicating between disjoint processes possibly but not exclusively in a distributed environment i would rather see descriptions of complete mechanisms with or without implementations as opposed to theoretical work on the abstract problem remote procedure calls and message passing are examples of my interests
4,4.0,  i d like papers on design and implementation of editing interfaces window managers command interpreters etc the essential issues are human interface design with views on improvements to user efficiency effectiveness and satisfaction
5,5.0,  interested in articles on robotics motion planning particularly the geometric and combinatorial aspects we are not interested in the dynamics of arm motion
6,6.0,  i am interested in distributed algorithms concurrent programs in which processes communicate and synchronize by using message passing areas of particular interest include fault tolerance and techniques for understanding the correctness of these algorithms
7,7.0,  addressing schemes for resources in networks resource addressing in network operating systems
8,8.0,  security considerations in local networks network operating systems and distributed systems
9,9.0,  parallel languages languages for parallel computation
10,10.0,  setl very high level languages
11,11.0,  portable operating systems
12,12.0,  code optimization for space efficiency
13,13.0,  find all discussions of optimal implementations of sort algorithms for database management applications
14,14.0,  find all discussions of horizontal microcode optimization with special emphasis on optimization of loops and global optimization
15,15.0,  find all descriptions of file handling in operating systems based on multiple processes and message passing
16,16.0,  optimization of intermediate and machine code
17,17.0,  languages and compilers for parallel processors especially highly horizontal microcoded machines code compaction
18,18.0,  parallel algorithms
19,19.0,  graph theoretic algorithms applicable to sparse matrices
20,20.0,  computational complexity intractability class complete reductions algorithms and efficiency
21,21.0,  i am interested in hidden line and hidden surface algorithms for cylinders toroids spheres and cones this is a rather specialized topic in computer graphics
22,22.0,  distributed computing structures and algorithms
23,23.0,  applied stochastic processes
24,24.0,  performance evaluation and modelling of computer systems
25,25.0,  concurrency control mechanisms in operating systems
26,26.0,  memory management aspects of operating systems
27,27.0,  any information on packet radio networks of particular interest are algorithms for packet routing and for dealing with changes in network topography i am not interested in the hardware used in the network
28,28.0,  number theoretic algorithms especially involving prime number series sieves and chinese remainder theorem
29,29.0,  articles on text formatting systems including what you see is what you get systems examples t nroff scribe bravo
30,30.0, andrews  patterson  i d like to find articles describing the use of singular value decomposition in digital image processing applications include finding approximations to the original image and restoring images that are subject to noise an article on the subject is h c andrews and c l patterson outer product expansions and their uses in digital image processing american mathematical monthly vol 82
31,31.0,  i d like to find articles describing graph algorithms that are based on the eigenvalue decomposition or singular value decomposition of the ajacency matrix for the graph i m especially interested in any heuristic algorithms for graph coloring and graph isomorphism using this method
32,32.0, davis  kahn  stewart  articles about the sensitivity of the eigenvalue decomposition of real matrices in particular zero one matrices i m especially interested in the separation of eigenspaces corresponding to distinct eigenvalues articles on the subject c davis and w m kahn the rotation of eigenvectors by a permutation siam j numerical analysis vol 7 no 1 1970 g w stewart error bounds for approximate invariant subspaces of closed linear operators siam j numerical analysis vol 8 no 4 1971
33,33.0, heindel  currently interested in isolation of root of polynomial there is an old article by heindel l e in j acm vol 18 533 548 i would like to find more recent material
34,34.0, rabin m  probabilistic algorithms especially those dealing with algebraic and symbolic manipulation some examples rabiin probabilistic algorithm on finite field siam waztch probabilistic testing of polynomial identities siam
35,35.0,  fast algorithm for context free language recognition or parsing
36,36.0,  articles describing the relationship between data types and concurrency e g what is the type of a process when is a synchronization attempt between two processes type correct in a message passing system is there any notion of the types of messages i e any way to check that the sender of the message and the receiver are both treating the bit stream as some particular type
37,37.0,  what is the type of a module i don t want the entire literature on abstract data types here but i m not sure how to phrase this to avoid it i m interested in questions about how one can check that a module matches contexts in which it is used
38,38.0,  what does type compatibility mean in languages that allow programmer defined types you might want to restrict this to extensible languages that allow definition of abstract data types or programmer supplied definitions of operators like
39,39.0,  list all articles dealing with data types in the following languages pascal clu alphard russell ada algol 68 el1 list any other languages that are referenced frequently in papers on the above languages e g catch any languages with interesting type structures that i might have missed
40,40.0,  theory of distributed systems and databases subtopics of special interest include reliability and fault tolerance in distributed systems atomicity distributed transactions synchronization algorithms resource allocation lower bounds and models for asynchronous parallel systems also theory of communicating processes and protocols
41,41.0,  computer performance evaluation techniques using pattern recognition and clustering
42,42.0,  analysis and perception of shape by humans and computers shape descriptions shape recognition by computer two dimensional shapes measures of circularity shape matching
43,43.0,  texture analysis by computer digitized texture analysis texture synthesis perception of texture
44,44.0,  the use of operations research models to optimize information system performance this includes fine tuning decisions such as secondary index selection file reorganization and distributed databases
45,45.0,  the application of fuzzy subset theory to clustering and information retrieval problems this includes performance evaluation and automatic indexing considerations
46,46.0,  the use of bayesian decision models to optimize information retrieval system performance this includes stopping rules to determine when a user should cease scanning the output of a retrieval search
47,47.0,  the use of computer science principles e g data structures numerical methods in generating optimization e g linear programming algorithms this includes issues of the khachian russian ellipsoidal algorithm and complexity of such algorithms
48,48.0,  the role of information retrieval in knowledge based systems i e expert systems
49,49.0,  parallel processors in information retrieval
50,50.0,  parallel processors and paging algorithms
51,51.0,  modelling and simulation in agricultural ecosystems
52,52.0,  mathematical induction group theory integers modulo m probability binomial coefficients binomial theorem homomorphism morphism transitivity relations relation matrix
53,53.0, hoare  dijkstra  semantics of programming languages including abstract specifications of data types denotational semantics and proofs of correctness
54,54.0,  anything dealing with star height of regular languages or regular expressions or regular events
55,55.0,  articles relation the algebraic theory of semigroups and monoids to the study of automata and regular languages
56,56.0, backus  millo  lipton  perlis  abstracts of articles j backus can programming be liberated from the von neumann style a functional style and its algebra of programs cacm 21 1978 613 641 r a de millo r j lipton a j perlis letter to acm forum cacm 22 1979 629 630
57,57.0,  algorithms or statistical packages for anova regression using least squares or generalized linear models system design capabilities statistical formula are of interest student s t test wilcoxon and sign tests multivariate and univariate components can be included
58,58.0,  dictionary construction and accessing methods for fast retrieval of words or lexical items or morphologically related information hashing or indexing methods are usually applied to english spelling or natural language problems
59,59.0,  hardware and software relating to database management systems database packages back end computers special associative hardware with microcomputers attached to disk heads or things like rap relational or network codasyl or hierarchical models systems like system r ims adabas total etc
60,60.0, salton  information retrieval articles by gerard salton or others about clustering bibliographic coupling use of citations or co citations the vector space model boolean search methods using inverted files feedback etc
61,61.0,  results relating parallel complexity theory both for pram s and uniform circuits
62,62.0,  algorithms for parallel computation and especially comparisons between parallel and sequential algorithms
63,63.0,  list all articles on el1 and ecl el1 may be given as el 1 i don t remember how they did it
