,.I,data,.B
0,1.0,18 editions of the dewey decimal classifications comaromi  the present study is a history of the dewey decimal classification the first edition of the ddc was published in 1876 the eighteenth edition in 1971 and future editions will continue to appear as needed in spite of the ddc s long and healthy life however its full story has never been told there have been biographies of dewey that briefly describe his system but this is the first attempt to provide a detailed history of the work that more than any other has spurred the growth of librarianship in this country and abroad,
1,2.0,use made of technical libraries slater  this report is an analysis of 6300 acts of use in 104 technical libraries in the united kingdom library use is only one aspect of the wider pattern of information use information transfer in libraries is restricted to the use of documents it takes no account of documents used outside the library still less of information transferred orally from person to person the library acts as a channel in only a proportion of the situations in which information is transferred taking technical information transfer as a whole there is no doubt that this proportion is not the major one there are users of technical information particularly in technology rather than science who visit libraries rarely if at all relying on desk collections of handbooks current periodicals and personal contact with their colleagues and with people in other organizations even regular library users also receive information in other ways,
2,3.0,two kinds of power an essay on bibliographic control wilson  the relationships between the organization and control of writings and the organization and control of knowledge and information will inevitably enter our story for writings contain along with much else a great deal of mankind s stock of knowledge and information bibliographical control is a form of power and if knowledge itself is a form of power as the familiar slogan claims bibliographical control is in a certain sense power over power power to obtain the knowledge recorded in written form as writings are not simply and not in any simple way storehouses of knowledge we cannot satisfactorily discuss bibliographical control as simply control over the knowledge and information contained in writings,
3,4.0,systems analysis of a university library final report and research project buckland  the establishment of nine new universities in the 1960 s provoked a highly stimulating re examination of the nature purpose and management of academic libraries long established attitudes and methods were questioned but although changes were made the basic difficulty remained a lack of objective information about the best ways of providing a library service in a university the report of the ugc committee on libraries the parry repot 267 which in general endorsed these changes also stressed the need for research into all aspects of academic library provision,
4,5.0,a library management game a report on a research project brophy  although the use of games in professional education has become widespread only during the last decade the method has been used in a number of fields for many hundreds of years its origins have been traced to simple war games used in military training when the real thing was either unavailable or too dangerous in more recent times these games have become more and more sophisticated and many now use large electronic computers to handle the complex calculations involved since 1956 when the first well developed management game was introduced the technique has spread rapidly into a wide variety of disciplines and today it is used at all levels of education from primary school classes to courses for experienced professional men and women one of the main causes of this game explosion has been the rapid development of sophisticated management techniques such as simulation and mathematical modelling which have been made possible by rapid advances in computer technology,
5,6.0,abstracting concepts and methods borko  graduate library school study of abstracting should be more than a how to do it course it should include general material on the characteristcs and types of abstracts the historical development of abstracting publications the abstract publishing industry especially in the united states and the need for standards in the preparation and evaluation of the product these topics we call concepts the text includes a methods section containing instructions for writing various types of abstracts and for editing and preparing abstracting publications these detailed instructions are supplemented by examples and exercises in the appendix there is a brief discussion of indexing of abstract publications research on automation has been treated extensively in this work for we believe that the topic deserves greater emphasis than it has received in the past computer use is becoming increasingly important in all aspects of librarianship much research effort has been expended on the preparation and evaluation of computer prepared abstracts and extracts students librarians and abstractors will benefit from knowing about this research and understanding how computer programs were researched to analyze text select key sentences and prepare extracts and abstracts the benefits of this research are discussed abstracting is a key segment of the information industry opportunities are available for both full time professionals and part time or volunteer workers many librarians find such activities pleasant and rewarding for they know they are contributing to the more effective use of stored information one chapter is devoted to career opportunities for abstractors,
6,7.0,academic library buildings a guide to architectural issues and solutions ellsworth  this book attempts to present representative examples of successful architectural solutions to the important problems librarians and architects face in planning new college and university library buildings or in remodeling and enlarging existing structures it does not attempt to make case study evaluations as was done by ellsworth mason for brown and yale nor does it present examples of unsuccessful solutions except to show how to avoid mistakes and in these cases the libraries will not be identified,
7,8.0,the academic library essays in honor of guy r lyle farber  as important for staff members individual development as was the apprenticeship in administration perhaps the most significant attitude one acquired while working for guy was engendered by his insistence that librarians must be interested in and knowledgeable about the content of the materials with which they dealt his love of literature his respect for scholarship his admiration for good writing and reading were manifested in many ways but most notably in his admonition that though we were primarily a research library we must constantly keep in mind our obligation to collect contemporary poetry fiction and belles letters it was primarily up to the library staff he felt to be responsible for these as well as for general books which crossed disciplinary lines or fell between the disciplines those books which a faculty mostly concerned with research materials is apt to overlook and in building this portion of the collection there is no substitute for a thorough acquaintance with books through a reading of critical reviews and the books themselves this counsel is from the president the professor and the college library but the importance of its thrust the need to keep up with the world of books and publishing was continually impressed upon us,
8,9.0,access to libraries in college hyman  this study assumed that an additional use study held less promise than an analytical consideration of concepts the basic approach was a survey comparing traditional and current professional ideas on direct access principal data gathering instruments were documentary analysis and opinion questionnaire findings of the documentary analysis included the following research from 1890 to 1970 on the direct shelf approach and browsing left the problems largely unresolved and evidently resistant to established methods of use and user research the need for an exhaustive study of concepts was confirmed open shelf libraries organized through shelf classification and relative location were meant to arouse the intellectual social and political interest of the average citizen and affect his democratic self realization definitions of browsing varied greatly self indulgence by the untutored in objectionable works beneficial self education for the general reader valuable guidance for the scholar in his research,
9,10.0,access to periodical resources palmour  the purpose of this study was to develop evaluate and recommend a national plan for improving access to periodical resources about 48 percent of all academic interlibrary loans are for periodical materials with the bulk of the loans being satisfied in the form of photocopies a major consideration in the long range improvement of the interlibrary loan system is the possible augmentation with a national system for acquiring storing and satisfying loan requests for periodical materials this study focused on the physical access to the periodical literature based on the needs of the library community design features were developed and included the following service should be made available to all users without any restriction other than access through a library initially the service should be confined primarily to rapid dependable delivery of photocopies of journal articles the collection of a center should be comprehensive in subject coverage excluding only medicine all worthwhile journals should be collected irrespective of language,
10,11.0,the acquisition of library materials ford  the scope of acquisitions work outlined in the introduction acknowledges the importance of selection policy serials recording and other topics kindred to acquisitions these topics are discussed in this book only as they relate to obtaining library materials they are examined thoroughly in books and papers that are cited in the references and the bibliographic note centralized acquisitions and automation of order routines are of major importance in order work and they are reviewed as chapters in this book these chapters are introductions to the concepts and problems of centralization and automation not manuals of practice for treatment of these topics in particular and in depth the reader is referred to the references cited for automation these references are only a modest selection from an enormous literature,
